0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:18 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:18 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:18 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/Guitars HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:20 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/product HTTP/1.1" 200 7792
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/css/custom.css HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:23 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:28 +0530] "GET /Music/login HTTP/1.1" 200 3603
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:28 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:28 +0530] "GET /Music/resources/css/custom.css HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:28 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:28 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:28 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:28 +0530] "GET /Music/resources/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:28 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:28 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/product HTTP/1.1" 200 7792
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/css/main.css HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/js/respond.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/js/main.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/js/jquery.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/js/scripts.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/js/bootstrap.min.js HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [28/Aug/2016:23:21:30 +0530] "GET /Music/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 996
